Current Body Type,Target Body Type,Workout Plan,Diet Plan,Estimated Duration (Days)
Endomorph,Ectomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,71
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",125
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",156
Endomorph,Mesomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",163
Ectomorph,Endomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",140
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",124
Mesomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",62
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,68
Endomorph,Mesomorph,Cardio & Flexibility 4x/week,"High Carb, Moderate Protein",126
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",149
Ectomorph,Mesomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",131
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",154
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",114
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",160
Mesomorph,Endomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,178
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",141
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",113
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",83
Ectomorph,Endomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",66
Endomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",102
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",162
Ectomorph,Mesomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",163
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,110
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Carb, Moderate Protein",91
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",164
Mesomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",152
Ectomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",63
Mesomorph,Ectomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",146
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",103
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,113
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",62
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",76
Mesomorph,Ectomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,77
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,107
Endomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",120
Endomorph,Ectomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,158
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",70
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",140
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",133
Mesomorph,Endomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,160
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,73
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",119
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",122
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,105
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",96
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Caloric Surplus",134
Ectomorph,Mesomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",129
Mesomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",62
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",156
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",80
Mesomorph,Ectomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",70
Endomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",149
Endomorph,Ectomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,152
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",87
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",152
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Carb, Moderate Protein",104
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,134
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",116
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,141
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Carb, Moderate Protein",74
Endomorph,Ectomorph,Strength & Weight Lifting 5x/week,Balanced Diet with Fiber Focus,95
Ectomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",63
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",100
Ectomorph,Mesomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",171
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",99
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",168
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",106
Mesomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",124
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",70
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",68
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,136
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",146
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,104
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",99
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",104
Endomorph,Mesomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",132
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",61
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",108
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",118
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",157
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",74
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,Balanced Diet with Fiber Focus,160
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",174
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",81
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",86
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",119
Endomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",118
Endomorph,Ectomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",125
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,Balanced Diet with Fiber Focus,164
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",168
Endomorph,Ectomorph,Strength & Weight Lifting 5x/week,Balanced Diet with Fiber Focus,149
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",139
Mesomorph,Ectomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",161
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,Balanced Diet with Fiber Focus,83
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",63
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",84
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",141
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",149
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",164
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",65
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",119
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",175
Ectomorph,Mesomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",118
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",77
Ectomorph,Mesomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",122
Endomorph,Ectomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",112
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Carb, Moderate Protein",133
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",105
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",117
Mesomorph,Endomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",148
Mesomorph,Ectomorph,Strength & Weight Lifting 5x/week,Balanced Diet with Fiber Focus,105
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,159
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",105
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",107
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,158
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Carb, Moderate Protein",98
Mesomorph,Ectomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,93
Mesomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",169
Ectomorph,Endomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,82
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,61
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",153
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,"High Carb, Moderate Protein",109
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",160
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",178
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,132
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",118
Endomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",127
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",159
Mesomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",71
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,68
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",165
Ectomorph,Mesomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",171
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Carb, Moderate Protein",108
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Carb, Moderate Protein",180
Ectomorph,Mesomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",126
Endomorph,Ectomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,69
Mesomorph,Ectomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,153
Mesomorph,Ectomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",124
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",127
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",174
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,Balanced Diet with Fiber Focus,71
Endomorph,Ectomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",89
Mesomorph,Ectomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",72
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,121
Ectomorph,Endomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",174
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",168
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Carb, Moderate Protein",108
Endomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",170
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",132
Mesomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Low Carb",121
Ectomorph,Endomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,165
Mesomorph,Endomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,83
Ectomorph,Mesomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein",144
Ectomorph,Mesomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,145
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Low Carb",121
Ectomorph,Mesomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,93
Endomorph,Mesomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",104
Mesomorph,Endomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,91
Ectomorph,Mesomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,62
Mesomorph,Endomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",151
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",105
Mesomorph,Ectomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",142
Mesomorph,Ectomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",65
Mesomorph,Ectomorph,Cardio & Flexibility 4x/week,"High Protein, Low Carb",144
Ectomorph,Endomorph,Endurance & HIIT 4x/week,"Low Fat, High Protein",178
Ectomorph,Endomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,173
Endomorph,Mesomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,60
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",106
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,147
Mesomorph,Ectomorph,Full-body Circuit Training 3x/week,Balanced Diet with Fiber Focus,154
Ectomorph,Endomorph,Endurance & HIIT 4x/week,"High Protein, Low Carb",158
Ectomorph,Mesomorph,Endurance & HIIT 4x/week,Balanced Diet with Fiber Focus,119
Endomorph,Mesomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",60
Endomorph,Mesomorph,Endurance & HIIT 4x/week,"High Protein, Caloric Surplus",159
Mesomorph,Endomorph,Strength & Cardio 5x/week,Balanced Diet with Fiber Focus,83
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Carb, Moderate Protein",120
Mesomorph,Ectomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",145
Endomorph,Ectomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",68
Mesomorph,Endomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",96
Endomorph,Ectomorph,Strength & Cardio 5x/week,"Low Fat, High Protein",179
Mesomorph,Ectomorph,Cardio & Flexibility 4x/week,Balanced Diet with Fiber Focus,175
Endomorph,Mesomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",143
Mesomorph,Ectomorph,Strength & Weight Lifting 5x/week,Balanced Diet with Fiber Focus,119
Mesomorph,Endomorph,Strength & Weight Lifting 5x/week,"High Protein, Caloric Surplus",112
Ectomorph,Endomorph,Full-body Circuit Training 3x/week,"High Protein, Caloric Surplus",112
Endomorph,Ectomorph,Full-body Circuit Training 3x/week,"High Carb, Moderate Protein",179
Ectomorph,Endomorph,Strength & Weight Lifting 5x/week,"Low Fat, High Protein",95
Ectomorph,Mesomorph,Full-body Circuit Training 3x/week,"Low Fat, High Protein",134
Ectomorph,Endomorph,Strength & Cardio 5x/week,"High Protein, Caloric Surplus",109
Mesomorph,Endomorph,Cardio & Flexibility 4x/week,"High Carb, Moderate Protein",124
Endomorph,Ectomorph,Cardio & Flexibility 4x/week,"Low Fat, High Protein",73
