Height (cm),Weight (kg),Shoulder Width (cm),Waist Width (cm),Arm Width (cm),Chest Width (cm),Leg Width (cm),Body Type (Label)
155.5,51.9,43.5,79.3,21.8,90.5,43.8,Ectomorph
188.0,67.9,44.0,74.6,29.7,108.8,58.0,Mesomorph
154.7,70.7,44.1,68.2,30.2,104.6,54.2,Mesomorph
166.4,48.4,38.6,69.3,21.5,93.5,49.4,Ectomorph
154.5,50.6,35.3,68.0,23.2,88.5,40.1,Ectomorph
150.0,67.6,40.8,78.3,30.9,94.3,59.9,Endomorph
174.6,55.5,39.2,62.4,26.4,87.5,48.8,Ectomorph
150.7,61.8,46.2,80.6,33.6,103.1,54.5,Mesomorph
171.8,70.4,42.2,81.2,31.9,90.2,53.7,Endomorph
183.4,88.2,48.3,80.6,27.3,97.4,50.7,Mesomorph
160.5,54.3,40.3,60.8,21.1,91.4,47.7,Ectomorph
153.2,60.4,46.0,70.6,27.0,106.6,59.0,Mesomorph
175.5,67.6,44.0,63.2,22.6,90.9,41.9,Ectomorph
177.6,73.3,45.0,81.6,25.0,90.9,58.0,Endomorph
186.5,81.0,48.8,75.1,26.1,94.3,53.6,Mesomorph
171.0,70.8,42.8,98.8,27.9,103.4,54.6,Endomorph
157.8,85.9,42.3,84.1,30.4,114.9,52.7,Endomorph
170.6,57.4,37.4,72.1,24.1,95.0,45.6,Ectomorph
153.4,63.6,46.0,76.0,28.4,97.2,58.2,Mesomorph
154.1,53.1,40.7,77.2,27.2,83.8,41.8,Ectomorph
184.3,79.3,41.7,67.4,33.8,91.4,58.3,Mesomorph
189.5,69.3,43.3,74.4,32.3,96.7,58.6,Mesomorph
161.8,73.8,43.4,66.5,25.1,95.7,52.1,Mesomorph
184.6,76.7,45.3,65.8,26.6,94.6,58.9,Mesomorph
153.0,61.6,41.2,72.4,27.6,90.8,52.1,Mesomorph
165.8,54.9,39.6,73.2,27.5,82.7,44.9,Ectomorph
159.2,79.6,39.1,92.9,27.9,106.4,62.1,Endomorph
167.9,86.8,43.8,83.9,25.3,115.0,59.1,Endomorph
179.6,66.9,38.3,78.7,27.7,85.0,44.7,Ectomorph
177.0,79.8,43.0,72.4,26.5,97.6,59.0,Mesomorph
184.5,78.7,41.8,68.9,25.2,97.5,50.4,Mesomorph
185.8,64.5,44.0,73.4,31.5,108.4,58.2,Mesomorph
153.9,52.2,35.0,68.7,21.4,84.4,40.7,Ectomorph
186.8,78.0,40.4,93.9,29.9,93.2,55.0,Endomorph
162.2,76.5,42.0,65.1,34.2,104.2,53.4,Mesomorph
169.3,62.4,40.6,66.6,32.4,93.4,54.9,Mesomorph
156.9,70.4,50.0,79.5,30.3,104.9,51.9,Mesomorph
164.0,66.5,43.8,78.0,31.9,100.4,57.1,Mesomorph
184.6,78.9,42.2,93.6,27.2,104.8,51.0,Endomorph
179.5,65.2,44.4,72.8,26.8,87.8,43.0,Ectomorph
157.8,61.3,39.3,67.5,22.5,86.8,40.6,Ectomorph
167.6,76.3,48.1,84.2,30.6,91.1,50.3,Mesomorph
177.2,54.2,37.4,66.6,20.6,86.2,47.3,Ectomorph
152.3,55.7,39.1,75.1,21.1,82.2,48.1,Ectomorph
163.4,57.2,42.0,74.9,29.9,93.4,52.2,Mesomorph
186.8,64.0,41.8,78.5,22.7,81.2,44.6,Ectomorph
154.0,52.9,41.3,73.3,21.1,88.9,42.8,Ectomorph
164.7,77.1,44.7,87.6,34.9,90.6,55.5,Endomorph
170.1,53.5,41.6,75.6,22.9,87.2,44.9,Ectomorph
165.6,85.7,42.3,86.0,34.6,96.2,50.6,Endomorph
179.5,55.6,39.0,62.5,20.7,90.9,46.5,Ectomorph
169.6,50.8,38.0,62.5,24.1,94.7,41.1,Ectomorph
160.1,76.6,46.0,71.9,26.9,92.2,53.3,Mesomorph
150.0,54.1,35.3,71.5,25.1,90.8,45.4,Ectomorph
153.3,54.6,41.2,75.8,20.5,89.3,44.5,Ectomorph
173.6,54.4,38.2,74.5,22.8,80.4,42.4,Ectomorph
187.6,64.0,39.3,73.3,24.0,94.6,46.0,Ectomorph
161.6,61.5,40.7,73.5,20.2,94.9,40.1,Ectomorph
158.6,71.4,43.5,73.8,32.8,106.0,54.0,Mesomorph
163.8,78.2,44.3,74.5,27.2,101.9,51.1,Mesomorph
159.7,79.3,47.4,95.1,31.7,98.3,61.2,Endomorph
178.3,79.6,44.7,74.8,28.4,108.8,59.5,Mesomorph
178.9,94.0,45.6,82.8,33.4,90.2,63.2,Endomorph
182.9,64.0,42.1,71.0,30.2,98.1,53.4,Mesomorph
176.9,65.4,45.3,68.6,29.5,107.4,55.8,Mesomorph
178.9,64.9,42.3,73.0,30.1,98.9,59.7,Mesomorph
153.2,67.2,45.4,78.8,26.6,105.3,59.4,Mesomorph
174.5,69.4,43.2,75.6,30.7,113.6,60.6,Endomorph
185.6,75.6,45.9,91.3,25.0,91.7,54.6,Endomorph
174.8,76.8,48.8,78.6,32.1,104.9,58.6,Mesomorph
154.7,65.8,42.2,67.1,29.7,96.9,57.5,Mesomorph
162.9,90.5,41.8,99.6,28.5,109.1,52.0,Endomorph
151.3,74.4,42.7,79.0,30.3,99.5,52.1,Endomorph
187.2,78.7,49.1,69.4,30.6,97.7,57.7,Mesomorph
157.6,57.0,41.7,72.4,28.5,94.2,54.5,Mesomorph
178.7,73.2,49.3,71.9,29.8,92.3,52.8,Mesomorph
154.3,56.7,43.9,72.7,33.1,99.6,51.5,Mesomorph
171.1,72.9,42.8,65.0,26.6,95.9,59.4,Mesomorph
183.4,62.9,36.1,78.0,25.6,84.6,41.5,Ectomorph
154.6,63.7,40.4,71.8,33.7,100.7,51.0,Mesomorph
182.3,62.3,41.4,71.7,26.1,94.1,54.0,Mesomorph
176.5,59.6,37.3,64.3,23.4,80.2,48.2,Ectomorph
157.1,54.4,40.6,66.0,23.6,93.6,41.3,Ectomorph
162.4,80.4,42.5,89.3,25.2,112.3,53.9,Endomorph
168.9,92.8,43.2,81.3,30.9,104.3,61.9,Endomorph
157.1,56.2,42.1,67.0,20.0,85.7,41.0,Ectomorph
163.2,53.5,35.2,79.6,24.7,94.3,44.1,Ectomorph
189.7,71.7,44.2,67.8,26.1,109.8,59.1,Mesomorph
159.7,58.5,40.4,79.2,22.4,83.1,41.8,Ectomorph
188.4,70.9,47.1,75.7,26.2,97.2,56.4,Mesomorph
186.3,77.2,43.1,95.0,32.7,108.5,53.9,Endomorph
162.6,94.0,44.3,79.7,27.2,96.5,51.7,Endomorph
163.0,67.9,49.5,77.1,32.0,92.4,51.5,Mesomorph
187.7,80.1,48.8,66.5,33.4,105.2,52.2,Mesomorph
162.6,62.0,42.9,73.5,23.4,91.6,47.4,Ectomorph
171.5,67.8,44.8,60.8,21.5,92.3,47.4,Ectomorph
187.0,80.0,47.8,88.2,26.3,110.1,60.1,Endomorph
155.3,57.6,40.8,75.7,20.3,94.1,49.2,Ectomorph
161.3,78.1,43.1,78.3,30.5,110.7,53.3,Endomorph
166.6,81.5,43.8,77.9,25.2,113.5,63.0,Endomorph
174.1,91.2,47.4,78.1,27.8,100.3,60.9,Endomorph
172.4,88.1,43.7,94.5,26.8,105.0,54.1,Endomorph
154.5,59.0,42.7,62.2,25.9,93.2,47.9,Ectomorph
172.4,67.1,43.9,61.9,22.2,93.5,41.6,Ectomorph
189.7,77.2,41.6,72.0,33.5,107.4,56.4,Mesomorph
188.4,61.3,41.7,76.9,21.8,81.5,41.3,Ectomorph
169.2,80.4,43.6,83.4,33.7,101.9,63.8,Endomorph
156.9,71.9,49.7,70.8,29.9,102.0,52.9,Mesomorph
175.5,57.1,41.9,79.4,25.8,95.0,49.5,Ectomorph
188.7,67.3,41.4,66.9,31.5,108.6,50.3,Mesomorph
152.6,74.7,40.1,90.0,33.1,105.6,61.6,Endomorph
163.7,59.4,42.0,63.1,22.1,86.9,46.2,Ectomorph
172.5,64.1,42.0,68.8,22.9,80.5,45.1,Ectomorph
186.3,69.2,41.2,76.5,20.2,83.7,44.4,Ectomorph
158.0,65.5,45.4,72.3,29.2,96.3,54.0,Mesomorph
152.4,58.6,42.6,68.9,30.8,97.0,55.5,Mesomorph
163.4,80.1,43.7,71.4,31.0,102.7,55.9,Mesomorph
189.0,60.9,40.4,63.9,22.6,90.0,47.7,Ectomorph
189.0,59.0,40.6,73.5,26.4,90.7,45.7,Ectomorph
173.6,54.4,41.5,67.5,22.6,89.5,49.9,Ectomorph
174.9,79.3,49.3,69.6,25.6,106.9,57.7,Mesomorph
150.5,76.8,42.7,89.3,25.6,101.6,59.7,Endomorph
151.8,60.5,42.4,83.3,26.4,112.3,61.9,Endomorph
184.9,97.7,44.2,77.9,29.5,93.8,51.3,Endomorph
188.0,62.4,38.2,76.4,21.6,84.3,40.9,Ectomorph
171.3,86.6,46.5,74.9,28.5,103.1,56.9,Mesomorph
156.9,57.1,40.3,76.8,20.1,85.6,40.8,Ectomorph
182.9,58.5,40.4,75.7,20.2,94.0,41.0,Ectomorph
172.8,52.9,40.3,61.9,21.2,85.4,42.4,Ectomorph
164.6,71.5,42.4,91.0,25.9,109.8,62.4,Endomorph
157.6,83.7,47.3,86.0,28.5,96.1,50.0,Endomorph
172.9,63.2,42.7,76.3,31.0,91.9,59.5,Mesomorph
157.7,55.3,40.4,67.8,28.0,90.6,55.9,Mesomorph
176.2,66.2,43.3,71.5,28.4,105.6,58.7,Mesomorph
168.4,52.4,37.7,64.0,24.7,91.9,47.3,Ectomorph
174.1,58.4,44.6,75.6,32.0,96.5,52.2,Mesomorph
154.5,73.4,47.7,80.1,33.5,115.0,54.7,Endomorph
186.6,67.4,39.8,84.7,27.4,92.4,60.8,Endomorph
188.1,61.6,43.2,72.5,26.2,82.8,42.9,Ectomorph
171.2,90.1,47.4,91.5,30.4,99.4,54.8,Endomorph
182.8,66.5,42.3,73.6,25.7,107.6,50.4,Mesomorph
159.2,64.8,48.4,84.4,26.8,108.7,52.4,Mesomorph
157.2,67.6,43.6,86.5,25.7,104.7,52.2,Endomorph
184.7,60.1,40.4,68.5,23.0,91.4,44.2,Ectomorph
158.4,68.4,41.8,73.8,31.8,98.2,56.8,Mesomorph
180.9,63.5,38.1,70.2,25.0,88.9,48.3,Ectomorph
162.5,80.1,42.3,80.2,30.2,114.1,64.7,Endomorph
184.9,57.7,37.7,74.5,25.6,87.8,42.8,Ectomorph
164.2,84.3,40.5,90.0,26.1,104.5,53.1,Endomorph
180.1,67.7,41.1,71.2,26.5,107.0,50.0,Mesomorph
153.1,54.1,36.1,76.7,24.6,82.1,40.2,Ectomorph
156.1,53.3,39.2,74.4,21.4,94.3,46.5,Ectomorph
171.4,58.2,42.0,79.5,23.5,93.8,48.1,Ectomorph
163.5,55.5,44.2,72.5,30.7,98.0,51.1,Mesomorph
154.2,78.1,42.2,95.0,31.4,104.0,58.1,Endomorph
186.5,74.7,44.5,80.8,25.4,93.2,57.2,Endomorph
154.4,59.7,41.1,71.5,29.5,90.3,59.9,Mesomorph
160.2,56.6,38.6,76.0,21.3,86.1,41.0,Ectomorph
154.3,52.4,38.2,68.2,27.8,94.8,49.3,Ectomorph
156.7,57.1,36.9,72.2,20.8,83.0,43.9,Ectomorph
167.1,70.3,42.8,68.2,26.7,102.2,59.8,Mesomorph
173.0,90.5,41.8,78.6,25.4,103.6,59.5,Endomorph
162.9,53.6,39.1,76.9,26.4,93.6,45.3,Ectomorph
181.0,74.5,45.2,77.5,27.5,105.3,54.5,Mesomorph
179.3,79.2,40.4,66.1,33.2,108.2,50.4,Mesomorph
159.7,92.9,45.6,76.1,28.3,112.9,51.4,Endomorph
158.5,66.4,45.3,67.9,32.0,95.3,59.1,Mesomorph
173.6,50.6,39.2,76.0,25.8,84.3,40.6,Ectomorph
188.7,65.6,40.6,69.5,33.8,100.9,54.9,Mesomorph
185.0,60.4,40.1,73.9,25.0,94.1,43.7,Ectomorph
155.0,78.0,47.4,86.6,33.6,90.8,60.3,Endomorph
171.0,62.1,35.7,61.6,22.5,92.1,48.4,Ectomorph
182.0,56.3,41.9,62.7,22.5,87.2,43.5,Ectomorph
151.8,57.3,35.2,75.4,24.7,92.1,41.2,Ectomorph
186.3,62.5,44.9,77.2,23.8,81.2,49.8,Ectomorph
153.0,79.8,45.5,78.7,32.4,102.1,60.1,Endomorph
173.6,66.0,45.1,76.7,25.2,99.9,59.6,Endomorph
189.9,72.6,42.3,80.7,28.2,101.4,57.4,Endomorph
170.3,54.3,41.6,62.5,22.3,82.0,40.8,Ectomorph
188.8,71.3,40.8,73.2,29.0,91.2,59.0,Mesomorph
178.8,58.0,40.7,64.0,24.5,81.1,47.4,Ectomorph
155.2,60.5,42.5,72.3,33.4,103.6,54.9,Mesomorph
160.5,53.2,39.6,60.8,21.2,92.3,42.3,Ectomorph
183.3,86.0,45.4,67.2,25.8,103.8,53.0,Mesomorph
156.9,65.2,42.0,97.0,25.8,107.1,51.0,Endomorph
164.0,82.5,43.2,92.8,28.6,114.8,57.3,Endomorph
179.5,87.1,44.8,88.8,28.1,95.0,61.5,Endomorph
184.8,66.5,43.8,76.0,25.2,98.3,56.6,Mesomorph
162.5,60.7,40.2,65.5,22.5,82.6,46.0,Ectomorph
176.8,86.9,40.8,91.4,27.0,100.4,57.3,Endomorph
161.5,60.3,43.8,74.6,21.3,95.0,46.6,Ectomorph
166.6,89.4,43.7,77.4,26.6,109.7,56.5,Endomorph
174.7,54.3,43.7,67.8,20.2,93.5,43.4,Ectomorph
152.8,51.8,39.4,68.3,24.6,94.0,43.1,Ectomorph
162.6,55.5,40.5,62.0,27.1,84.1,44.2,Ectomorph
173.3,68.9,46.5,77.7,31.1,98.6,51.8,Endomorph
178.6,84.4,44.8,82.7,30.1,111.6,54.1,Endomorph
189.6,81.1,49.3,81.8,33.0,110.0,56.5,Mesomorph
157.7,75.0,48.8,81.0,30.9,95.8,57.3,Mesomorph
151.0,74.9,40.1,89.2,27.5,107.6,56.5,Endomorph
189.1,89.1,44.0,97.0,28.9,104.9,61.2,Endomorph
164.5,62.5,43.5,61.8,27.1,85.7,45.6,Ectomorph
185.0,69.7,44.9,94.1,28.3,106.2,53.5,Endomorph
183.2,85.2,41.3,93.4,32.8,104.2,54.9,Endomorph
150.8,62.8,41.8,72.4,30.6,93.5,50.2,Mesomorph
167.9,71.1,42.8,65.3,31.7,97.2,57.8,Mesomorph
158.3,77.8,41.6,79.9,27.4,98.7,54.4,Endomorph
185.3,59.5,41.2,78.7,23.6,93.9,42.6,Ectomorph
189.5,57.9,39.6,66.1,25.5,87.4,44.8,Ectomorph
168.8,95.0,47.9,80.2,31.3,105.5,54.1,Endomorph
188.4,68.8,43.1,75.5,29.8,102.6,50.1,Mesomorph
155.8,78.6,43.5,97.4,26.8,105.0,64.2,Endomorph
158.2,68.4,43.9,66.4,29.5,90.3,54.8,Mesomorph
